Gene,Log2FoldChange,PValue,FDR
MARVELD2,0.6381333333333341,0.0004497354001955,0.0392463342018981
PITRM1,-0.2679323611111091,0.0004605637163983,0.039270877048361
FAM176A,-1.2025577777777787,0.0004614228178113,0.039270877048361
ZNF793,0.4294240277777774,0.0004585690321397,0.039270877048361
CXXC5,0.3664197916666669,0.000467396644538,0.0396078363431854
LOC149134,0.6464202777777786,0.0004694341661027,0.0396097669767348
C1orf229,0.4621988888888895,0.0004759770193589,0.0399902059854601
BCAS1,-1.471486875,0.0004832368999607,0.0401517166380332
RUNDC2C,0.6229739583333345,0.0004860685940921,0.0401517166380332
C18orf45,-0.3410211111111119,0.0004851948280696,0.0401517166380332
EHD1,-0.3376338888888881,0.0004826649019014,0.0401517166380332
ADAM29,-0.5170465277777776,0.0004918783462919,0.040461624636401
ZNF57,0.2409672916666654,0.0005175581425209,0.0404785053238239
ZNF546,0.3174270138888877,0.0005201303198259,0.0404785053238239
HSF1,-0.2285080555555563,0.0005068304951094,0.0404785053238239
TAF5,-0.3048644444444441,0.0005144518371011,0.0404785053238239
HSN2,-0.6491272916666662,0.0005242508306283,0.0404785053238239
ZNF180,0.2907479166666649,0.000533360624299,0.0404785053238239
C10orf41,0.5196042361111104,0.0005184851494205,0.0404785053238239
SLC14A1,1.525237708333333,0.0005354409615047,0.0404785053238239
CDO1,0.6828347916666662,0.0005062849292368,0.0404785053238239
C2orf27A,-0.6425745833333325,0.0004986233616344,0.0404785053238239
ZNF429,0.2996975000000006,0.0005075134315222,0.0404785053238239
KLK2,-0.1983804166666666,0.0005130615062726,0.0404785053238239
ZNF45,0.2719118055555558,0.0004951934517833,0.0404785053238239
PION,0.5420503472222205,0.000508818215696,0.0404785053238239
